"start","end","length","bc_gen","individual"
78302,99912,21610,"BC1",1
49368,74743,25375,"BC1",3
93862,99912,6050,"BC1",3
16,99912,99896,"BC1",4
16,7913,7897,"BC1",5
65637,83664,18027,"BC1",5
75885,99912,24027,"BC1",6
16,69318,69302,"BC1",7
45715,92426,46711,"BC1",8
16,38180,38164,"BC1",9
46682,99912,53230,"BC1",9
16,6086,6070,"BC1",10
25674,87132,61458,"BC1",10
39517,90275,50758,"BC1",11
67687,99912,32225,"BC1",12
11484,99912,88428,"BC1",13
25674,34783,9109,"BC1",14
42541,99912,57371,"BC1",14
16,99912,99896,"BC1",15
16,7128,7112,"BC1",16
26912,28813,1901,"BC1",17
49771,99912,50141,"BC1",17
44975,53559,8584,"BC1",18
16,99912,99896,"BC1",20
79768,99912,20144,"BC1",21
16,45095,45079,"BC1",22
48338,99912,51574,"BC1",22
16,94619,94603,"BC1",23
16,29428,29412,"BC1",24
20488,26988,6500,"BC1",25
16,99912,99896,"BC1",26
8946,99912,90966,"BC1",27
20730,99912,79182,"BC1",28
16,99912,99896,"BC1",29
16,80539,80523,"BC1",30
59482,99912,40430,"BC1",31
16,99912,99896,"BC1",33
16,99912,99896,"BC1",34
16,30829,30813,"BC1",35
53260,99912,46652,"BC1",35
16,99912,99896,"BC1",36
35490,99912,64422,"BC1",37
16,32726,32710,"BC1",38
16,99912,99896,"BC1",39
16,61163,61147,"BC1",40
16,99912,99896,"BC1",41
61872,99912,38040,"BC1",42
86210,99912,13702,"BC1",44
16,71450,71434,"BC1",45
16,21929,21913,"BC1",47
64876,99912,35036,"BC1",47
26988,99912,72924,"BC1",48
16,50813,50797,"BC1",49
16,99912,99896,"BC1",50
78302,99912,21610,"BC1",51
16,24223,24207,"BC1",52
16,53721,53705,"BC1",53
19998,99912,79914,"BC1",54
53517,99912,46395,"BC1",55
70314,99912,29598,"BC1",56
16,99912,99896,"BC1",57
16,88747,88731,"BC1",58
16,40775,40759,"BC1",59
54586,99912,45326,"BC1",61
78062,99912,21850,"BC1",62
16,6996,6980,"BC1",63
16,4955,4939,"BC1",64
16,9023,9007,"BC1",65
29815,63995,34180,"BC1",65
67687,99912,32225,"BC1",65
16,99912,99896,"BC1",66
78447,99912,21465,"BC1",71
16,99912,99896,"BC1",72
4743,41363,36620,"BC1",73
64400,78591,14191,"BC1",74
3666,65910,62244,"BC1",75
16,98635,98619,"BC1",76
16,21326,21310,"BC1",77
70977,90946,19969,"BC1",77
594,99912,99318,"BC1",78
16,99912,99896,"BC1",79
16,47310,47294,"BC1",80
96264,99912,3648,"BC1",80
35214,48877,13663,"BC1",81
67955,99912,31957,"BC1",81
16,1502,1486,"BC1",82
34146,92819,58673,"BC1",82
58267,70314,12047,"BC1",84
16,99912,99896,"BC1",85
16,99912,99896,"BC1",86
16,5498,5482,"BC1",87
89845,93392,3547,"BC1",87
8946,92819,83873,"BC1",89
16,38180,38164,"BC1",90
68684,89463,20779,"BC1",90
98235,99912,1677,"BC1",90
16,9091,9075,"BC1",91
80539,99912,19373,"BC1",93
16,8324,8308,"BC1",94
16,99912,99896,"BC1",95
16,99912,99896,"BC1",96
94092,97174,3082,"BC1",97
35490,99912,64422,"BC1",98
16,33092,33076,"BC1",99
16,37159,37143,"BC1",100
58763,99912,41149,"BC1",100
17337,79185,61848,"BC2",2
75093,93392,18299,"BC2",3
83501,99912,16411,"BC2",4
62273,99912,37639,"BC2",5
32159,38854,6695,"BC2",7
52332,99912,47580,"BC2",7
63940,87994,24054,"BC2",9
93100,99912,6812,"BC2",9
16,7575,7559,"BC2",10
21987,99912,77925,"BC2",11
16,5959,5943,"BC2",12
10456,70129,59673,"BC2",12
76500,99912,23412,"BC2",14
16,73594,73578,"BC2",15
89987,99912,9925,"BC2",15
16,5642,5626,"BC2",16
24223,28813,4590,"BC2",16
23542,24111,569,"BC2",17
39647,76044,36397,"BC2",17
58998,66993,7995,"BC2",19
16,44141,44125,"BC2",22
65637,99912,34275,"BC2",23
16,22170,22154,"BC2",25
54425,99912,45487,"BC2",25
34749,35377,628,"BC2",26
236,58506,58270,"BC2",27
56746,99912,43166,"BC2",28
73353,99912,26559,"BC2",29
81219,99912,18693,"BC2",31
16,6403,6387,"BC2",32
36394,93392,56998,"BC2",32
16,16740,16724,"BC2",33
24530,27067,2537,"BC2",33
71979,90946,18967,"BC2",37
16,3291,3275,"BC2",39
26378,99912,73534,"BC2",39
60149,64410,4261,"BC2",40
20115,30063,9948,"BC2",41
16,54789,54773,"BC2",43
64876,99912,35036,"BC2",43
16,80539,80523,"BC2",44
27708,43871,16163,"BC2",45
55102,70586,15484,"BC2",46
16,36078,36062,"BC2",47
15856,30829,14973,"BC2",48
8946,74898,65952,"BC2",50
13854,28228,14374,"BC2",51
59280,99912,40632,"BC2",51
6620,22351,15731,"BC2",54
23026,58479,35453,"BC2",54
16,1225,1209,"BC2",55
16,99912,99896,"BC2",56
57290,57738,448,"BC2",58
33696,45260,11564,"BC2",59
58267,99912,41645,"BC2",59
16,12521,12505,"BC2",60
16,24025,24009,"BC2",61
69649,82616,12967,"BC2",61
16,99912,99896,"BC2",64
16,48338,48322,"BC2",65
16,8324,8308,"BC2",66
16,632,616,"BC2",67
7128,11609,4481,"BC2",67
236,99912,99676,"BC2",68
16,82556,82540,"BC2",72
16,49368,49352,"BC2",73
92283,99912,7629,"BC2",73
16,89335,89319,"BC2",74
16,33092,33076,"BC2",76
16,22170,22154,"BC2",78
17714,92426,74712,"BC2",81
48747,99912,51165,"BC2",84
9361,17714,8353,"BC2",86
37495,89518,52023,"BC2",86
16,5498,5482,"BC2",87
25327,32162,6835,"BC2",87
16,99912,99896,"BC2",89
16,99912,99896,"BC2",90
42144,91703,49559,"BC2",91
16,53721,53705,"BC2",92
67955,96463,28508,"BC2",92
12656,28228,15572,"BC2",95
95193,99912,4719,"BC2",95
54325,99912,45587,"BC2",96
7705,57064,49359,"BC2",97
74289,99912,25623,"BC2",99
16,387,371,"BC3",5
7110,7705,595,"BC3",5
96954,99912,2958,"BC3",6
16,8081,8065,"BC3",9
2988,7705,4717,"BC3",12
16,84716,84700,"BC3",15
12656,44353,31697,"BC3",18
16,39747,39731,"BC3",20
60149,99912,39763,"BC3",20
40767,55490,14723,"BC3",22
16,59935,59919,"BC3",26
11787,12656,869,"BC3",27
16,99912,99896,"BC3",30
16,14145,14129,"BC3",31
54325,56840,2515,"BC3",33
16,48877,48861,"BC3",35
34303,52056,17753,"BC3",41
88981,99912,10931,"BC3",41
66993,99912,32919,"BC3",42
72282,83105,10823,"BC3",44
35377,99912,64535,"BC3",50
2190,55694,53504,"BC3",51
86939,99912,12973,"BC3",51
21105,21223,118,"BC3",52
16,25856,25840,"BC3",57
66475,96371,29896,"BC3",58
56834,82410,25576,"BC3",62
90036,92906,2870,"BC3",65
83090,99912,16822,"BC3",66
60556,77974,17418,"BC3",68
16,33092,33076,"BC3",69
92480,99912,7432,"BC3",70
1907,39747,37840,"BC3",71
69066,72114,3048,"BC3",71
85781,99912,14131,"BC3",72
50572,63241,12669,"BC3",77
62517,78591,16074,"BC3",80
4109,60326,56217,"BC3",81
62208,79185,16977,"BC3",82
89987,97354,7367,"BC3",83
16,5377,5361,"BC3",92
5959,54049,48090,"BC3",93
85781,86497,716,"BC3",94
1225,18474,17249,"BC3",97
29884,99912,70028,"BC3",97
16,81486,81470,"BC3",98
34963,88633,53670,"BC3",99
29283,57012,27729,"BC3",100
74549,82993,8444,"BC3",100
16,14738,14722,"BC4",2
73594,91703,18109,"BC4",7
17337,48536,31199,"BC4",8
85781,99912,14131,"BC4",11
15498,25856,10358,"BC4",16
16,12771,12755,"BC4",17
56256,66475,10219,"BC4",24
99024,99912,888,"BC4",33
31498,40564,9066,"BC4",39
16,21987,21971,"BC4",44
3046,32589,29543,"BC4",49
18830,21464,2634,"BC4",52
73996,99912,25916,"BC4",55
25807,43016,17209,"BC4",66
16,15498,15482,"BC4",75
24876,24876,0,"BC4",76
50572,77304,26732,"BC4",82
16,13480,13464,"BC4",84
25807,30829,5022,"BC4",97
46999,47128,129,"BC4",100
85182,90946,5764,"BC4",100
