"target","observed","rep"
0.01,0.008,1
0.01,0.01,2
0.01,0.014,3
0.01,0.012,4
0.01,0.012,5
0.01,0.008,6
0.01,0.012,7
0.01,0.01,8
0.01,0.012,9
0.01,0.004,10
0.01,0.006,11
0.01,0.008,12
0.01,0.008,13
0.01,0.014,14
0.01,0.008,15
0.01,0.006,16
0.01,0.014,17
0.01,0.01,18
0.01,0.01,19
0.01,0.02,20
0.05,0.054,1
0.05,0.032,2
0.05,0.054,3
0.05,0.052,4
0.05,0.042,5
0.05,0.064,6
0.05,0.048,7
0.05,0.044,8
0.05,0.056,9
0.05,0.04,10
0.05,0.056,11
0.05,0.062,12
0.05,0.028,13
0.05,0.05,14
0.05,0.048,15
0.05,0.052,16
0.05,0.046,17
0.05,0.042,18
0.05,0.048,19
0.05,0.054,20
0.1,0.096,1
0.1,0.108,2
0.1,0.092,3
0.1,0.08,4
0.1,0.116,5
0.1,0.096,6
0.1,0.1,7
0.1,0.102,8
0.1,0.096,9
0.1,0.116,10
0.1,0.11,11
0.1,0.1,12
0.1,0.094,13
0.1,0.102,14
0.1,0.114,15
0.1,0.1,16
0.1,0.1,17
0.1,0.096,18
0.1,0.108,19
0.1,0.1,20
0.2,0.208,1
0.2,0.198,2
0.2,0.168,3
0.2,0.212,4
0.2,0.196,5
0.2,0.18,6
0.2,0.164,7
0.2,0.208,8
0.2,0.162,9
0.2,0.182,10
0.2,0.214,11
0.2,0.186,12
0.2,0.188,13
0.2,0.194,14
0.2,0.208,15
0.2,0.202,16
0.2,0.204,17
0.2,0.198,18
0.2,0.2,19
0.2,0.222,20
0.3,0.308,1
0.3,0.27,2
0.3,0.302,3
0.3,0.328,4
0.3,0.304,5
0.3,0.31,6
0.3,0.306,7
0.3,0.312,8
0.3,0.308,9
0.3,0.31,10
0.3,0.274,11
0.3,0.296,12
0.3,0.28,13
0.3,0.296,14
0.3,0.31,15
0.3,0.296,16
0.3,0.33,17
0.3,0.288,18
0.3,0.302,19
0.3,0.3,20
0.5,0.534,1
0.5,0.526,2
0.5,0.466,3
0.5,0.494,4
0.5,0.494,5
0.5,0.516,6
0.5,0.514,7
0.5,0.498,8
0.5,0.52,9
0.5,0.522,10
0.5,0.458,11
0.5,0.488,12
0.5,0.468,13
0.5,0.49,14
0.5,0.5,15
0.5,0.53,16
0.5,0.474,17
0.5,0.482,18
0.5,0.544,19
0.5,0.508,20
