"target","var_g","var_gxe","var_e","rep"
0,0.105865441711617,0,0.854820973043992,1
0,0.107664587778474,0,0.858092059371447,2
0,0.112355483463216,0,0.89188910721003,3
0,0.109404778322584,0,0.87710063827015,4
0,0.119292854568818,0,0.934809886938966,5
0,0.108005137499589,0,0.851105190943909,6
0,0.106747038980717,0,0.884245659770643,7
0,0.130797751895075,0,0.927204864452167,8
0,0.112400596939603,0,0.864388844851563,9
0,0.099489176475263,0,0.907798430465671,10
0,0.137742923193564,0,0.966690386018759,11
0,0.110828308076054,0,0.864601750137559,12
0,0.111960438126219,0,0.90160239723966,13
0,0.126896767687976,0,0.901072148875703,14
0,0.115914126905002,0,0.901241109288573,15
0,0.128275977184551,0,0.941888342392891,16
0,0.121800535078255,0,0.889335026675816,17
0,0.11274420434055,0,0.884917459830894,18
0,0.113509828101648,0,0.868858305742712,19
0,0.115973141720645,0,0.872891714220162,20
0.05,0.139068017669361,0.025068551954651,0.865010254036775,1
0.05,0.121591894696684,0.0152065115522755,0.851105777815403,2
0.05,0.125322157923428,0.0214389511396281,0.856488728586829,3
0.05,0.127251241853761,0.0247786968036214,0.86970801728337,4
0.05,0.124740804229951,0.0212896212702105,0.83190265438129,5
0.05,0.130084363676841,0.0194848704587271,0.795010234310249,6
0.05,0.128181170159806,0.0225118430751717,0.8201972500343,7
0.05,0.122579509744502,0.0241441127860212,0.812734958505638,8
0.05,0.134701993871949,0.0175921147435417,0.839242682774188,9
0.05,0.140422144046378,0.0218134926196905,0.832277593295121,10
0.05,0.129331198950975,0.0195911151875454,0.807714863928755,11
0.05,0.119402896655186,0.0193817690795093,0.853310546502895,12
0.05,0.132927797774789,0.019617407674442,0.883721144753397,13
0.05,0.13724285919681,0.0207597907643029,0.798857625486969,14
0.05,0.123005234678562,0.019816911467988,0.872342169638315,15
0.05,0.124047232383434,0.0192786610364608,0.82619565894882,16
0.05,0.125905088966996,0.0225990228854555,0.849230937078729,17
0.05,0.117549742576774,0.0194432237958995,0.828673711495184,18
0.05,0.115618616643809,0.0186361534737959,0.816247870807053,19
0.05,0.136344320916772,0.0219376009145806,0.888066361750653,20
0.1,0.145897644335586,0.0517162520114759,0.805265302861822,1
0.1,0.139378673017955,0.051674641638939,0.80792080918012,2
0.1,0.155003438568011,0.0468623608018461,0.849375226948583,3
0.1,0.14359103665344,0.0429279237901418,0.782050151778321,4
0.1,0.142063754940275,0.0533374079058012,0.76908404561436,5
0.1,0.154534794649837,0.0610919358238634,0.760296410032806,6
0.1,0.160598200590356,0.0576098339509792,0.81763366901823,7
0.1,0.154726574813263,0.0397426704147206,0.782552560287865,8
0.1,0.14941824548556,0.0527515434281275,0.810115656115496,9
0.1,0.153596278214043,0.0482046433170598,0.812862381662377,10
0.1,0.144173896097309,0.045629561654734,0.803349898460678,11
0.1,0.150385138658786,0.0435279087363933,0.80801082712097,12
0.1,0.155282335557085,0.0482852388947134,0.857222955722125,13
0.1,0.147020114267025,0.0537632764105314,0.862582259188953,14
0.1,0.14870376807601,0.0494181715856737,0.875382696673887,15
0.1,0.146612769019287,0.0593734894949159,0.866978437600093,16
0.1,0.160178106090041,0.0540661089531182,0.857839049927667,17
0.1,0.161283711684568,0.059607668791461,0.822620605976566,18
0.1,0.177657079792889,0.0497631113492297,0.862376388055968,19
0.1,0.14019313959645,0.0475857310724404,0.811566717524257,20
0.15,0.160334533990906,0.0687618066203346,0.758406880061954,1
0.15,0.161844308482674,0.0786489074562906,0.802521870086713,2
0.15,0.169258724252003,0.100625209043023,0.744865938608074,3
0.15,0.16625496171178,0.0787663230741663,0.763396947187752,4
0.15,0.158142817203038,0.0707699602386628,0.715755366800476,5
0.15,0.149865744294256,0.0756047847026366,0.719652796395137,6
0.15,0.177802278354775,0.095175729103716,0.732016033917526,7
0.15,0.168089390953384,0.0889148708025471,0.791355030060979,8
0.15,0.147454714969385,0.0782833432198021,0.729215696169921,9
0.15,0.159553367232097,0.0696580368557996,0.774791165799338,10
0.15,0.140193448433072,0.0709899767106318,0.730598288973975,11
0.15,0.145510416370236,0.0849443566585337,0.688697648902146,12
0.15,0.179700297108937,0.077929895339262,0.802523614849096,13
0.15,0.168548994714134,0.079105729695681,0.763494875887023,14
0.15,0.160766555914956,0.0854321165966598,0.727247851189159,15
0.15,0.158910454457918,0.08756070794526,0.745966383604684,16
0.15,0.160773958310503,0.0817096955642359,0.74792734862905,17
0.15,0.159969976578303,0.0875729859547084,0.755206212374328,18
0.15,0.173615311868301,0.0805260269531315,0.808361792462929,19
0.15,0.155663177128804,0.0800031839164434,0.784790952151876,20
0.2,0.182830452139495,0.118146586621852,0.705152204680201,1
0.2,0.16286672245113,0.118343411813162,0.653936242411115,2
0.2,0.175524760344998,0.116637425140516,0.707658153990896,3
0.2,0.184254534701416,0.124337460103217,0.743597778730415,4
0.2,0.193758378832362,0.122446038268219,0.676753346913186,5
0.2,0.191524303217041,0.116590359759265,0.699241706627106,6
0.2,0.179153991188507,0.126263997751836,0.71123895904097,7
0.2,0.175527471234689,0.11748185245485,0.744827389770537,8
0.2,0.181421688734456,0.102667516144698,0.673400576860313,9
0.2,0.194955520692183,0.114032989057954,0.74196726213774,10
0.2,0.165937089499652,0.132083338932202,0.686707443151225,11
0.2,0.18447214893088,0.125370098705699,0.676287915959061,12
0.2,0.161091214459692,0.114683091500949,0.69227802194634,13
0.2,0.186874248961452,0.140023321716156,0.813573820661575,14
0.2,0.180709094042462,0.130549960494102,0.669007819215931,15
0.2,0.171174365456712,0.124707938948626,0.687882832883927,16
0.2,0.171258572104294,0.118369093429454,0.725082536789426,17
0.2,0.174287779233548,0.141868782897483,0.653640203750576,18
0.2,0.172690465654109,0.117873902731059,0.693406770847874,19
0.2,0.175433407621713,0.122029597462738,0.722158518103573,20
0.25,0.201884695521025,0.139620704300705,0.616181946940231,1
0.25,0.191964557005524,0.147602875446028,0.62532818475695,2
0.25,0.190149673078976,0.170899163289559,0.641511791344824,3
0.25,0.207667598091918,0.13785510387058,0.681187700339314,4
0.25,0.205203988861805,0.148692081593041,0.638651667514648,5
0.25,0.182101645214635,0.155313700800367,0.606235166555003,6
0.25,0.205372647478186,0.158352100235544,0.668904957204652,7
0.25,0.201554899260827,0.15562003850546,0.68138926967951,8
0.25,0.173942674041159,0.144977686496022,0.625278110186035,9
0.25,0.182497534812032,0.155279990396005,0.667034080402422,10
0.25,0.189080873838306,0.153388748004849,0.673366322886671,11
0.25,0.177875740441014,0.147941103835498,0.604206680083222,12
0.25,0.189233136398266,0.148143275117142,0.632207605220905,13
0.25,0.207479415831188,0.144274756262202,0.66871688480721,14
0.25,0.199940270171691,0.152186705754215,0.670771669685844,15
0.25,0.227529160503504,0.135536342042897,0.70313715385458,16
0.25,0.191215847479376,0.147624346146899,0.722761449617662,17
0.25,0.196401809945861,0.192367433546742,0.671095729688285,18
0.25,0.190569921461847,0.146685478561576,0.590832278733236,19
0.25,0.185984915576818,0.145642322339048,0.630579477119636,20
